"country_name","country_id"
"United Arab Emirates","1"
"Belgium","10"
"Marshall Islands","100"
"Netherlands Antilles","1000"
"Antarctica","1001"
"Montserrat","1003"
"Crimea","1004"
"Mongolia","101"
"Micronesia","102"
"Moldova","103"
"Mozambique","104"
"Mexico","105"
"Namibia","106"
"South Africa","107"
"South Sudan","108"
"Niue","109"
"Burundi","11"
"Palau","110"
"Senegal","111"
"Cyprus","112"
"San Marino","113"
"Suriname","114"
"Somalia","115"
"Tajikistan","116"
"Tanzania","117"
"Trinidad and Tobago","118"
"Tunisia","119"
"Denmark","12"
"Turkey","120"
"Turkmenistan","121"
"Venezuela","122"
"Ukraine","123"
"Uzbekistan","124"
"Spain","125"
"Hungary","126"
"Syria","127"
"Armenia","128"
"Zambia","129"
"Timor-Leste","13"
"Albania","130"
"Afghanistan","131"
"Egypt","132"
"Angola","133"
"Australia","134"
"Bahamas","135"
"Pakistan","136"
"Bulgaria","137"
"Benin","138"
"Poland","139"
"Togo","14"
"Bolivia","140"
"Burkina Faso","141"
"Bhutan","142"
"Democratic People's Republic of Korea","143"
"Equatorial Guinea","144"
"Germany","145"
"France","146"
"Fiji","147"
"Gambia","148"
"Democratic Republic of the Congo","149"
"Ecuador","15"
"Cuba","150"
"Haiti","151"
"South Korea","152"
"Guinea","153"
"Guinea-bissau","154"
"Cambodia","155"
"Cook Islands","156"
"Latvia","157"
"Romania","158"
"Madagascar","159"
"Philippines","16"
"Malawi","160"
"Malaysia","161"
"Mali","162"
"Mauritius","163"
"Mauritania","164"
"United States","165"
"Bangladesh","166"
"Myanmar","167"
"Monaco","168"
"Nepal","169"
"Cape Verde","17"
"Nicaragua","170"
"Norway","171"
"Japan","172"
"Sweden","173"
"Switzerland","174"
"El Salvador","175"
"Serbia","176"
"Sri Lanka","177"
"Thailand","178"
"Tonga","179"
"Republic of the Congo","18"
"Uganda","180"
"New Zealand","181"
"Italy","182"
"India","183"
"United Kingdom","184"
"Chile","185"
"Central African Republic","186"
"Vietnam","187"
"China","188"
"Hong Kong, China","1881"
"Macau, China","1882"
"Taiwan, China","1883"
"Greece","189"
"Grenada","19"
"Peru","190"
"Vanuatu","191"
"Kiribati","192"
"Vatican City","193"
"Canada","194"
"Ethiopia","195"
"Panama","196"
"Botswana","197"
"Eswatini","198"
"Samoa","199"
"Aruba","2"
"Guyana","20"
"Palestine","200"
"Andorra","201"
"Anguilla","202"
"Bermuda","203"
"Northern Mariana Islands","204"
"Caribbean Netherlands","207"
"Faroe Islands","208"
"French Polynesia","209"
"Netherlands","21"
"French Guiana","210"
"Guernsey","212"
"Sint Maarten","215"
"Cocos (Keeling) Islands","217"
"Honduras","22"
"Curacao","220"
"Liechtenstein","221"
"Reunion","222"
"Falkland Islands","224"
"Martinique","225"
"Mayotte","226"
"American Samoa","227"
"U.S. Virgin Islands","228"
"Djibouti","23"
"Norfolk Island","230"
"Saint Kitts and Nevis","232"
"Saint Pierre and Miquelon","233"
"Saint Vincent and the Grenadines","234"
"Turks and Caicos Islands","235"
"Wallis and Futuna","236"
"New Caledonia","238"
"Ghana","24"
"Gibraltar","240"
"Gabon","25"
"Czech Republic","26"
"Cayman Islands","27"
"Kuwait","28"
"Croatia","29"
"Oman","3"
"Laos","30"
"Lithuania","31"
"Liberia","32"
"Libya","33"
"Luxembourg","34"
"Rwanda","35"
"Maldives","36"
"Malta","37"
"North Macedonia","38"
"Morocco","39"
"Ireland","4"
"Nauru","40"
"Niger","41"
"Nigeria","42"
"Portugal","43"
"Sierra Leone","44"
"Seychelles","45"
"Saudi Arabia","46"
"Sao Tome and Principe","47"
"Saint Helena, Ascension and Tristan da Cunha","48"
"Saint Lucia","49"
"Estonia","5"
"Slovakia","50"
"Slovenia","51"
"Sudan","52"
"Solomon Islands","53"
"Tuvalu","54"
"Guatemala","55"
"Brunei Darussalam","56"
"Uruguay","57"
"Singapore","58"
"Jamaica","59"
"Barbados","6"
"Yemen","60"
"Iraq","61"
"Iran","62"
"Israel","63"
"Indonesia","64"
"British Virgin Islands","65"
"Jordan","66"
"Chad","67"
"Algeria","68"
"Argentina","69"
"Papua New Guinea","7"
"Azerbaijan","70"
"Antigua and Barbuda","71"
"Austria","72"
"Bahrain","73"
"Belarus","74"
"Iceland","75"
"Puerto Rico","76"
"Bosnia and Herzegovina","77"
"Belize","78"
"Dominican Republic","79"
"Paraguay","8"
"Dominica","80"
"Russia","81"
"Eritrea","82"
"Finland","83"
"Colombia","84"
"Costa Rica","85"
"Greenland","86"
"Georgia","87"
"Guadeloupe","88"
"Kazakhstan","89"
"Brazil","9"
"Montenegro","90"
"Kyrgyzstan","91"
"Zimbabwe","92"
"Cameroon","93"
"Qatar","94"
"Comoros","95"
"C̫te d'Ivoire","96"
"Kenya","97"
"Lesotho","98"
"Lebanon","99"